ProductKey,Label,Category,Name,Manufacturer,BrandName,Class,Color,Cost,Price
1,0101001,Audio,Contoso 512MB MP3 Player E51 Silver,"Contoso, Ltd",Contoso,Economy,Silver,6.62,12.99
2,0101002,Audio,Contoso 512MB MP3 Player E51 Blue,"Contoso, Ltd",Contoso,Economy,Blue,6.62,12.99
3,0101003,Audio,Contoso 1G MP3 Player E100 White,"Contoso, Ltd",Contoso,Economy,White,7.40,14.52
4,0101004,Audio,Contoso 2G MP3 Player E200 Silver,"Contoso, Ltd",Contoso,Economy,Silver,11.00,21.57
5,0101005,Audio,Contoso 2G MP3 Player E200 Red,"Contoso, Ltd",Contoso,Economy,Red,11.00,21.57
6,0101006,Audio,Contoso 2G MP3 Player E200 Black,"Contoso, Ltd",Contoso,Economy,Black,11.00,21.57
7,0101007,Audio,Contoso 2G MP3 Player E200 Blue,"Contoso, Ltd",Contoso,Economy,Blue,11.00,21.57
8,0101008,Audio,Contoso 4G MP3 Player E400 Silver,"Contoso, Ltd",Contoso,Economy,Silver,30.58,59.99
9,0101009,Audio,Contoso 4G MP3 Player E400 Black,"Contoso, Ltd",Contoso,Economy,Black,30.58,59.99
10,0101010,Audio,Contoso 4G MP3 Player E400 Green,"Contoso, Ltd",Contoso,Economy,Green,30.58,59.99
11,0101011,Audio,Contoso 4G MP3 Player E400 Orange,"Contoso, Ltd",Contoso,Economy,Orange,30.58,59.99
12,0101012,Audio,Contoso 4GB Flash MP3 Player E401 Blue,"Contoso, Ltd",Contoso,Economy,Blue,35.72,77.68
13,0101013,Audio,Contoso 4GB Flash MP3 Player E401 Black,"Contoso, Ltd",Contoso,Economy,Black,35.72,77.68
14,0101014,Audio,Contoso 4GB Flash MP3 Player E401 Silver,"Contoso, Ltd",Contoso,Economy,Silver,35.72,77.68
15,0101015,Audio,Contoso 4GB Flash MP3 Player E401 White,"Contoso, Ltd",Contoso,Economy,White,35.72,77.68
16,0101016,Audio,Contoso 8GB Super-Slim MP3/Video Player M800 White,"Contoso, Ltd",Contoso,Regular,White,50.56,109.95
17,0101017,Audio,Contoso 8GB Super-Slim MP3/Video Player M800 Red,"Contoso, Ltd",Contoso,Regular,Red,50.56,109.95
18,0101018,Audio,Contoso 8GB Super-Slim MP3/Video Player M800 Green,"Contoso, Ltd",Contoso,Regular,Green,50.56,109.95
19,0101019,Audio,Contoso 8GB Super-Slim MP3/Video Player M800 Pink,"Contoso, Ltd",Contoso,Regular,Pink,50.56,109.95
20,0101020,Audio,Contoso 8GB MP3 Player new model M820 Black,"Contoso, Ltd",Contoso,Regular,Black,61.62,134.00
21,0101021,Audio,Contoso 8GB MP3 Player new model M820 Blue,"Contoso, Ltd",Contoso,Regular,Blue,61.62,134.00
22,0101022,Audio,Contoso 8GB MP3 Player new model M820 Yellow,"Contoso, Ltd",Contoso,Regular,Yellow,61.62,134.00
23,0101023,Audio,Contoso 8GB MP3 Player new model M820 White,"Contoso, Ltd",Contoso,Regular,White,61.62,134.00
24,0101024,Audio,Contoso 16GB Mp5 Player M1600 Blue,"Contoso, Ltd",Contoso,Regular,Blue,91.93,199.90
25,0101025,Audio,Contoso 16GB Mp5 Player M1600 Black,"Contoso, Ltd",Contoso,Regular,Black,91.93,199.90
26,0101026,Audio,Contoso 16GB Mp5 Player M1600 Green,"Contoso, Ltd",Contoso,Regular,Green,91.93,199.90
27,0101027,Audio,Contoso 16GB Mp5 Player M1600 White,"Contoso, Ltd",Contoso,Regular,White,91.93,199.90
28,0101028,Audio,Contoso 16GB Mp5 Player M1600 Red,"Contoso, Ltd",Contoso,Regular,Red,91.93,199.90
29,0101029,Audio,Contoso 32GB Video MP3 Player M3200 White,"Contoso, Ltd",Contoso,Regular,White,84.49,255.00
30,0101030,Audio,Contoso 32GB Video MP3 Player M3200 Red,"Contoso, Ltd",Contoso,Regular,Red,84.49,255.00
31,0101031,Audio,Contoso 32GB Video MP3 Player M3200 Orange,"Contoso, Ltd",Contoso,Regular,Orange,84.49,255.00
32,0101032,Audio,Contoso 32GB Video MP3 Player M3200 Pink,"Contoso, Ltd",Contoso,Regular,Pink,84.49,255.00
33,0101033,Audio,Contoso 32GB Video MP3 Player M3200 Black,"Contoso, Ltd",Contoso,Regular,Black,84.49,255.00
